"Case_ID","Case_Code","Case_Name","Category","Linked_Pref_Cards","Date_Updated","Pre_Incision_Critical_Steps","Bed_Position_Drapes","Mayo_1_Setup","Mayo_2_Setup","Trays_Equipment","Circulator_Energy_Notes","Disposables_Sutures","Dressing_Meds_Bolster","Rep_Contacts_Notes"
"TG1","TG1","Vaginoplasty","Gender Affirming","M-83968","11/22/25","Antibiotic: Unasyn (no redosing) | Complete paralysis (zero twitches) until skin closure | No Tburg, reverse Tburg, tilt | Confirm Lovenox | Confirm SCDs in place & functioning","Trumpf (preferred) or Skytron | Gel pad under torso | Allen Yellofin Elite stirrups (2 brackets) | Lithotomy drape | Ioban strip 6650EZ, 3in strips | Ioban strip 6640EZ (1/2) for hips","Adson w teeth (2) | Gerald w teeth (2) | Black mets | Kidney basin for hooks & bovie | Super sponge + alcohol | Stapler (2) | Tonsil | Hemostats (small roll)","Vaginal base & mold | Basin filled with 1/2 saline | Ruler | Green towels (2) | Half sheet Ioban | Black mets | Adson | Needle driver | Heavy scissors | 3-0 chromic SH x 2 | Wound vac sponge, large | Stapler | Copious bacitracin","Uro Minor | Perineal bookwalter (bracket 'spinner up', near armboard) | Vaginoplasty | URO suture cart | Ligasure machine (new) | Two Mayo stands | Kick bucket left of surgeon | Bipolar pedal left of surgeon | Sitting stools (4) | Neptune | DO NOT open recon tray","Shave with clippers and blue razor | Chloraprep (2) | Cut/Coag/Bipolar: 15/15/20 (start) then 30/30/20 | Music: Volume 40%, doc computer at 100% | Write lithotomy time on board (ask surgeon) | Specimens: L and R testicle (separate, fresh) | Grounding pad *after* positioning | Bookwalter bracket 'spinner up', near armboard","Lithotomy drape (OPEN) | Ioban strip 6650EZ, 3in strips (OPEN) | Ioban 6640EZ for hips (OPEN) | 4-0 vicryl SH (3) (OPEN) | 2-0 vicryl SH undyed (3) (OPEN) | 2-0 vicryl SH dyed (10) - closing (OPEN) | 5-0 monocryl PS-2 (2) (OPEN) | 2-0 vicryl UR6 (3) (OPEN) | 5-0 chromic (1) (OPEN) | 3-0 chromic SH (1) (OPEN) | Blue hooks (8) (OPEN) | Needle tip bovie #E1651 Lawson 100014 (OPEN) | Ligasure small jaw (OPEN) | 20mL syringe, 18g needle (OPEN) | Wound vac sponge, large M8275065 (OPEN) | 16Fr Foley (open 1, HA 1) | Large Tegaderm (OPEN) | Bipolar cord (OPEN) | Bayonet insulated bipolar #20-13701 Lawson 013263 (OPEN) | Three suctions (one in pack)","Dressing: Kerlix (6), Mesh panties, New 16Fr Foley, Closing suture: 2-0 vicryl SH dyed (10) | Vaginal bolster: Cut large wound vac sponge to 13x15cm, roll hot dog, staple edges, 13cm circumference; Wrap with V.A.C. drape then Tegaderm to smooth; Attach SensaT.R.A.C. pad, seal with Ioban; Copious bacitracin; Test with suction to ensure seal | Meds: Epi 1:200k 30mL, Irrisept (1), 0.25% marcaine with epi 60mL, Artiss (call pharmacy), Bacitracin ointment (4), Bottle H2O (2), Bottle NaCl, Lube","Dr. Figler Cell: 216-339-0230 | Clear liquids day prior"
"TG2","TG2","Vulvoplasty","Gender Affirming","M-83968, M-107797","11/13/25","Antibiotic: Unasyn (no redosing) | Complete paralysis (zero twitches) until skin closure | No Tburg, reverse Tburg, tilt | Confirm Lovenox | Confirm SCDs in place & functioning","Trumpf (preferred) or Skytron | Gel pad under torso | Allen Yellofin Elite stirrups (2 brackets) | Lithotomy drape | Ioban strip 6640EZ, 3in strips (2). Rest for hips.","Adson w teeth (2) | Gerald w teeth (2) | Gerald without teeth (2) | Black mets | Kidney basin for hooks & bovie | Tonsil | Hemostats (small roll)","None","Uro Minor | Perineal bookwalter | URO suture cart | Ligasure machine (new) | Kick bucket left of surgeon | Bipolar pedal left of surgeon | Sitting stools (4) | Neptune | DO NOT open recon tray","Shave with clippers and blue razor | Super sponge + alcohol | Chloraprep (2) | Cut/Coag/Bipolar: 15/15/20 (start) then 30/30/20 | Music: Volume 40%, doc computer at 100% | Write lithotomy time on board (ask surgeon) | Specimens: L and R testicle (separate, fresh) | Grounding pad *after* positioning | Bookwalter bracket 'spinner up', near armboard","Lithotomy drape (OPEN) | Ioban strip 6640EZ, 3in strips (2) (OPEN) | 4-0 vicryl SH (3) (OPEN) | 2-0 vicryl SH undyed (3) (OPEN) | 2-0 vicryl SH dyed (10) - closing (OPEN) | 5-0 monocryl PS-2 (2) (OPEN) | 2-0 vicryl UR6 (3) (OPEN) | Blue hooks (8) (OPEN) | Needle tip bovie #E1651 Lawson 100014 (OPEN) | Ligasure small jaw (OPEN) | 20mL syringe, 18g needle (OPEN) | Stapler (1) (OPEN) | 16Fr Foley (open 1, HA 1) | Bipolar cord (OPEN) | Bayonet insulated bipolar #20-13701 Lawson 013263 (OPEN) | Two suctions (one in pack)","Dressing: Kerlix (6), Mesh panties, New 16Fr Foley, Closing suture: 2-0 vicryl SH dyed (10) | Meds: Irrisept (1), 0.25% marcaine with epi 60mL, Bottle H2O (2)","Dr. Figler Cell: 216-339-0230"
"TG3","TG3","Metoidioplasty / Phalloplasty Stage 2","Gender Affirming","M-74397","11/13/25","Antibiotic: Unasyn (no redosing) | Complete paralysis (zero twitches) until skin closure | No Tburg, reverse Tburg, tilt | Confirm Lovenox | Confirm SCDs in place & functioning","Trumpf (preferred) or Skytron | Gel pad under torso | Allen Yellofin Elite stirrups (2 brackets) | Ioban strip 6640EZ (1/2) for hips | Lithotomy drape","Adson w teeth (2) | Gerald w teeth (2) | Black mets | Kidney basin for hooks & bovie | Tonsil | Hemostats (small roll)","None","Uro Minor | Perineal bookwalter | Uro recon | Weighted speculums | Head lamp | Flex cysto, Olympus tower (separate table) | URO suture cart | Ligasure machine (new) | Mayo stand | Kick bucket left of surgeon | Bipolar pedal left of surgeon | Sitting stools (4) | Neptune","Shave with clippers and blue razor | Super sponge + alcohol then chloraprep (2) | Cut/Coag/Bipolar: 15/15/20 (start) then 30/30/20 | Music: Volume 40%, doc computer at 100% | Write lithotomy time on board (ask surgeon) | Bovie 60 spray for vaginectomy ONLY | Grounding pad *after* positioning | Bookwalter bracket 'spinner up', near armboard","Lithotomy drape (OPEN) | Ioban strip 6650EZ, 3in strips (2) (OPEN) | 5-0 vicryl RB-1 (3) (OPEN) | 0 PDS (5) (OPEN) | 4-0 vicryl SH (3) (OPEN) | 2-0 vicryl SH undyed (3) (OPEN) | Blue hooks (8) (OPEN) | Needle tip bovie #E1651 Lawson 100014 (OPEN) | Ligasure small jaw (OPEN) | 20mL syringe, 18g needle (OPEN) | Stapler (1) (OPEN) | 16Fr Foley (1) (OPEN) | 12Fr Foley (1) (OPEN) | Bipolar cord (OPEN) | Bayonet insulated bipolar #20-13701 Lawson 013263 (OPEN) | Two suctions (one in pack) | Suprapubic tube kit: One step introducer G26655, 11 blade, 20g spinal needle (yellow), 16 Foley/bag, 10mL syringe (2) | Cysto tubing | On/off suction","Dressing: Kerlix (2), Mesh panties, New 16Fr Foley | Meds: Irrisept (1), 0.25% marcaine with epi 60mL, Bottle H2O (2)","Dr. Figler Cell: 216-339-0230"
"TG4","TG4","Orchiectomy (Gender Affirming)","Gender Affirming","M-75977","11/13/25","Antibiotic: Ancef | Confirm SCDs in place & functioning","Trumpf (preferred) or Skytron | Laparotomy drape","Adson w teeth (2) | Kelly | Gelpi | Medium Rich | Suture scissors | New 2-0 vicryl to tie each spermatic cord","None","Uro Minor | URO suture cart | Neptune","Shave with clippers and blue razor | Chloraprep (2) | Cut/Coag: 30/30 | Music: Volume 40%, doc computer at 100% | Grounding pad typically right thigh | Specimens: L and R testicle (separate, fresh)","Laparotomy drape (OPEN) | 20mL syringe, 18g needle (OPEN) | Stapler (1) (OPEN) | Suture: 2-0 vicryl SH (2), 3-0 chromic SH (1) (OPEN)","Dressing: Kerlix (2 HA), Mesh panties or jock strap (based on size, HA) | Meds: 0.25% marcaine with epi 30mL, Bottle H2O","Dr. Figler Cell: 216-339-0230"
"TG5","TG5","MPP Phallo (Malleable Penile Prosthesis s/p Phalloplasty)","Prosthesis & Implants","M-90889","11/13/25","Antibiotic: Unasyn (no redosing) | Complete paralysis (zero twitches) until skin closure | No Tburg, reverse Tburg, tilt | Confirm Lovenox | Confirm SCDs in place & functioning | Confirm rep & implants BEFORE rolling into room!","Trumpf (preferred) or Skytron | Gel pad under torso | Allen Yellofin Elite stirrups (2 brackets) | Ioban strip 6640EZ (1/2) for hips | Lithotomy drape","Adson w teeth (2) | Gerald w teeth (2) | Black mets | Kidney basin for hooks & bovie | Tonsil | Hemostats (small roll) | Sterile Implant Prep on Mayo: (1) Clean with super sponge + alcohol, (2) Shampoo with chlorhexidine + H2O, (3) Sterilize Chloraprep x 2, (4) Chloraprep x 1 after draping","None","Uro Minor | Perineal bookwalter | Flexible ureteroscope & tower (prep table) | HBR ORT Stryker CD System | HBR ORT Stryker Sterile Battery Small | HBR Uro Bone Instruments | HBR Uro Penile Extras | Hagar dilators (HA) | URO suture cart | Bipolar pedal left of surgeon | Sitting stools (4) | Neptune","Shave with clippers and blue razor | Super sponge + alcohol | Chloraprep (2) | Cut/Coag/Bipolar: 15/15/20 | Music: Volume 40%, doc computer at 100% | Write lithotomy time on board (ask surgeon) | Grounding pad *after* positioning | Bookwalter bracket 'spinner up', near armboard","Lithotomy drape (OPEN) | Ioban strip 6640EZ, 3in strips (2) (OPEN) | Blue hooks (4) (OPEN) | 12Fr Foley (HA) | 14Fr council Foley (HA) | 20mL syringe, 18g needle (OPEN) | Stapler (1) (OPEN) | Bipolar cord (OPEN) | Bayonet insulated bipolar #20-13701 Lawson 013263 (OPEN) | Two suctions (one in pack) | 0.038in zip wire (HA) | 5-French ureteral catheter (HA) | On/off suction | Needle tip bovie #E1651 Lawson 100014 (HA) | Implants: Boston Scientific/AMS Tactra (all diameters on standby) | Fibertak x 3 AR-8991","Dressing: Kerlix (2), Mesh panties or jock strap (based on size) | Meds: Irrisept (1), 0.25% marcaine with epi 60mL, Bottle H2O (2), 1L sterile H2O for cysto | For implant: Sterile NS (500mL), Two 50mL and one 20mL syringes, Eight mosquitos","Boston Scientific Rep: Will Gadd (919-368-5668) | Arthrex Rep: Nikki Hodgins (919-818-7776)"
"TG6","TG6","IPP Phallo (Inflatable Penile Prosthesis s/p Phalloplasty)","Prosthesis & Implants","M-90889","11/13/25","Antibiotic: Unasyn (no redosing) | Complete paralysis (zero twitches) until skin closure | No Tburg, reverse Tburg, tilt | Confirm Lovenox | Confirm SCDs in place & functioning | Confirm rep & implants BEFORE rolling into room!","Trumpf (preferred) or Skytron | Gel pad under torso | Allen Yellofin Elite stirrups (2 brackets) | Ioban strip 6640EZ (1/2) for hips | Lithotomy drape","Adson w teeth (2) | Gerald w teeth (2) | Black mets | Kidney basin for hooks & bovie | Tonsil | Hemostats (small roll) | Sterile Implant Prep on Mayo: (1) Clean with super sponge + alcohol, (2) Shampoo with chlorhexidine + H2O, (3) Sterilize Chloraprep x 2, (4) Chloraprep x 1 after draping","None","Uro Minor | Perineal bookwalter | Flexible ureteroscope & tower (prep table) | HBR ORT Stryker CD System | HBR ORT Stryker Sterile Battery Small | HBR Uro Bone Instruments | HBR Uro Penile Extras | Hagar dilators (HA) | URO suture cart | Bipolar pedal left of surgeon | Sitting stools (4) | Neptune","Shave with clippers and blue razor | Cut/Coag/Bipolar: 15/15/20 | Music: Volume 40%, doc computer at 100% | Write lithotomy time on board (ask surgeon) | Grounding pad *after* positioning | Bookwalter bracket 'spinner up', near armboard","Lithotomy drape (OPEN) | Ioban strip 6640EZ, 3in strips (2) (OPEN) | Blue hooks (4) (OPEN) | 12Fr Foley (HA) | 14Fr council Foley (HA) | 20mL syringe, 18g needle (OPEN) | Stapler (1) (OPEN) | Bipolar cord (OPEN) | Bayonet insulated bipolar #20-13701 Lawson 013263 (OPEN) | Two suctions (one in pack) | 0.038in zip wire (HA) | 5-French ureteral catheter (HA) | On/off suction | Needle tip bovie #E1651 Lawson 100014 (HA) | Implants: Boston Scientific/AMS Tactra / IPP | Fibertak x 3","Dressing: Kerlix (2), Mesh panties or jock strap (based on size) | Meds: Irrisept (1), 0.25% marcaine with epi 60mL, Bottle H2O (2), 1L sterile H2O for cysto | For implant: Sterile NS (500mL), Two 50mL and one 20mL syringes, Eight mosquitos","Boston Scientific Rep: Will Gadd (919-368-5668) | Arthrex Rep: Nikki Hodgins (919-818-7776)"
"TG7","TG7","Meta Stage 2 & Phallo Stage 2.5","Gender Affirming","M-83509","11/13/25","Antibiotic: Ancef | Confirm SCDs in place & functioning","Trumpf (preferred) or Skytron | Laparotomy drape","Adson w teeth (2) | Kelly | Gelpi | Medium Rich | Suture scissors","None","Uro Minor | URO suture cart | Neptune","Shave with clippers and blue razor | Chloraprep (2) | Cut/Coag: 30/30 | Music: Volume 40%, doc computer at 100% | Grounding pad typically right thigh | Specimens: L and R testicle (separate, fresh)","Laparotomy drape (OPEN) | 20mL syringe, 18g needle (OPEN) | 50mL syringe (local) | Stapler (1) (OPEN)","Dressing: Kerlix (2 HA), Mesh panties or jock strap (based on size, HA) | Meds: 0.25% marcaine with epi 30mL, Bottle H2O","Dr. Figler Cell: 216-339-0230"
"R1","R1","Urethroplasty (Lithotomy)","Urethral & Genital Recon","M-75978, M-75976","11/13/25","Antibiotic: Unasyn (no redosing) | Complete paralysis (zero twitches) until skin closure | No Tburg, reverse Tburg, tilt | Confirm Lovenox | Confirm SCDs in place & functioning","Trumpf (preferred) or Skytron | Gel pad under torso | Allen Yellofin Elite stirrups (2 brackets) | Lithotomy drape | Ioban strip 6650EZ, 3in strips (2) | Ioban strip 6640EZ (1/2) for hips","Adson w teeth (2) | Gerald w teeth (2) | Gerald without teeth (2) | Black mets | Kidney basin for hooks & bovie | Tonsil | Hemostats (small roll) | Buccal graft harvest table (HA - ask before opening): 25g hypo (7), 15 blade, 11 blade, utility drape, table cover, Raytecs","None","Uro Minor | Perineal bookwalter | Uro Recon | Uro buccal graft (HA) | Shods (HA) | Bone instruments (rarely needed) | Flexible cystoscope & tower (separate prep table) | URO suture cart | Bipolar pedal left of surgeon | Sitting stools (4) | Neptune","Shave with clippers and blue razor | Super sponge + alcohol | Chloraprep (2) | Cut/Coag/Bipolar: 30/30/20 | Music: Volume 40%, doc computer at 100% | Write lithotomy time on board (ask surgeon) | Grounding pad *after* positioning | Bookwalter bracket 'spinner up', near armboard | Specimen: urethral stricture (typically)","Lithotomy drape (OPEN) | Ioban strip 6650EZ, 3in strips (2) (OPEN) | 4-0 vicryl SH (3) (OPEN) | Blue hooks (8) (OPEN) | 20mL syringe, 18g needle (OPEN) | Stapler (1) (OPEN) | 16Fr Foley (open 1, HA 1) | Bipolar cord (OPEN) | Bayonet insulated bipolar #20-13701 Lawson 013263 (OPEN) | Two suctions (one in pack) | 1/4in penrose (HA) | 0.038in zip wire (HA) | 5-French ureteral catheter (HA) | On/off suction | Needle tip bovie #E1651 Lawson 100014 (HA)","Dressing: Kerlix (2), Mesh panties or jock strap (based on size) | Meds: Irrisept (1), 0.25% marcaine with epi 60mL, Bottle H2O (2), 1L sterile H2O for cysto","Dr. Figler Cell: 216-339-0230"
"R2","R2","Urethroplasty (Supine)","Urethral & Genital Recon","M-75978, M-75976","11/13/25","Antibiotic: Unasyn (no redosing) | Confirm SCDs in place & functioning","Trumpf (preferred) or Skytron | May use 2 pillows (ask) | Laparotomy drape | Ioban with pockets (not strips)","Adson w teeth (2) | Gerald w teeth (2) | Gerald without teeth (2) | Black mets | Kidney basin for hooks & bovie | Tonsil | Hemostats (small roll) | Buccal graft table (HA - ask before opening): 25g hypo (7), 15 blade, 11 blade, green towels (3), table cover, Raytecs, local 1% lido with epi","None","Uro Minor | Perineal bookwalter (unlikely, will ask) | Uro Recon | Uro buccal graft (HA) | Shods (unlikely, will ask) | Bone instruments (rarely needed) | Flexible cystoscope & tower (separate table) | URO suture cart | Bipolar pedal left of surgeon | Neptune","Shave with clippers and blue razor | Chloraprep (2) | Cut/Coag/Bipolar: 20/20/20 | Music: Volume 40%, doc computer at 100%","Laparotomy drape (OPEN) | Ioban with pockets (not strips) (OPEN) | 4-0 vicryl SH (3) (OPEN) | 20mL syringe, 18g needle (OPEN) | Stapler (1) (OPEN) | 16Fr Foley (open 1, HA 1) | Bipolar cord (OPEN) | Bayonet insulated bipolar #20-13701 Lawson 013263 (OPEN) | 1/4in penrose (HA) | 0.038in zip wire (HA) | 5-French ureteral catheter (HA) | Needle tip bovie #E1651 Lawson 100014 (HA)","Dressing: Kerlix (2 HA), Mesh panties or jock strap (based on size, HA), Kling (HA), Coban (HA) | Meds: Irrisept (1), 0.25% marcaine with epi 60mL, Bottle H2O (2)","Dr. Figler Cell: 216-339-0230"
"R3","R3","First-Stage Urethroplasty","Urethral & Genital Recon","M-75978, M-75976","11/13/25","Antibiotic: Unasyn (no redosing) | Confirm SCDs in place & functioning","Trumpf (preferred) or Skytron | May use 2 pillows (ask) | Laparotomy drape | Ioban with pockets (not strips)","Adson w teeth (2) | Gerald w teeth (2) | Gerald without teeth (2) | Black mets | Kidney basin for hooks & bovie | Tonsil | Hemostats (small roll) | Buccal graft table (HA - ask before opening): 25g hypo (7), 15 blade, 11 blade, utility drape, table cover, Raytecs","None","Uro Minor | Uro Recon | Uro buccal graft | Flexible cystoscope & tower (separate table) | URO suture cart | Bipolar pedal left of surgeon | Neptune","Shave with clippers and blue razor | Chloraprep (2) | Cut/Coag/Bipolar: 20/20/20 | Music: Volume 40%, doc computer at 100%","Laparotomy drape (OPEN) | Ioban with pockets (not strips) (OPEN) | 4-0 vicryl SH (3) (OPEN) | 50mL syringe, 18g needle (OPEN) | Stapler (1) (OPEN) | 16Fr Foley (open 1, HA 1) | Bipolar cord (OPEN) | Bayonet insulated bipolar #20-13701 Lawson 013263 (OPEN)","Dressing: Kerlix (2 HA), Mesh panties (cut hole), Kling (1), 2-0 vicryl SH dyed (8), Mineral oil 100mL | Meds: Irrisept (1), 0.25% marcaine with epi 60mL, Bottle H2O (2)","Dr. Figler Cell: 216-339-0230"
