"Card_Number","Card_Name","Category","Item_Name","Pull_Qty","Open_Qty","PRN_Qty","Unit","Lawson_Number","Bin_Location","Notes"
"M-68103","ARTIFICIAL URINARY SPHINCTER  - FIGLER, B","Supply / Disposable",", 00888937015478Stay Surgical Elastic Single H Ook 5mm Blue3311-1G","8","0","8","EA","","HBROR - A1C3-27014783","Required"
"M-68103","ARTIFICIAL URINARY SPHINCTER  - FIGLER, B","Supply / Disposable",", 10884521713291Blade Electrode 6.5 In 50/Ca O- 010890 D-004976E1551-6","1","1","0","EA","","HBROR - A3C1-12050936","Required"
"M-68103","ARTIFICIAL URINARY SPHINCTER  - FIGLER, B","Supply / Disposable",", 10884524000077Pad Ground Electrode Adl 30lb D-319853-026613 R-01420E7507","1","1","0","EA","","HBROR - A3C1-41100642","Required"
"M-68103","ARTIFICIAL URINARY SPHINCTER  - FIGLER, B","Supply / Disposable",", 10884524000053Pencil Cautery Electrosurg W/Holster 50/CaE2516H","2","2","0","EA","","HBROR - A3C1-6050934","Required"
"M-68103","ARTIFICIAL URINARY SPHINCTER  - FIGLER, B","Supply / Disposable",", 00085412001050Set Irrigation Cysto W/Cath 81In Ad Pr Clamp D-0108352C4040","1","0","1","EA","","HBROR - A3C3-24052011","Required"
"M-68103","ARTIFICIAL URINARY SPHINCTER  - FIGLER, B","Supply / Disposable",", 10885380072437Tubing Suction Noncond 20ft St Maxi-Grip 20/CaCFN620A","1","1","0","EA","","HBROR - A3C3-4001943","Required"
"M-68103","ARTIFICIAL URINARY SPHINCTER  - FIGLER, B","Supply / Disposable",", 20884527005557BOWL SOLUTION 16OZ POLY DISP ST LF 75/","1","1","0","CA","","HBROR - A3C4-2001407","Required"
"M-68103","ARTIFICIAL URINARY SPHINCTER  - FIGLER, B","Supply / Disposable","00","6","1","0","EA","","","Required"
"M-68103","ARTIFICIAL URINARY SPHINCTER  - FIGLER, B","Supply / Disposable",", 00801741076114Fastener Foley Statlock Bard 25/Bx N-339998FOL0102","1","0","1","EA","","HBROR - A3C5-6 050091","Required"
"M-68103","ARTIFICIAL URINARY SPHINCTER  - FIGLER, B","Supply / Disposable",", 00810019800306Pack Gown Standard Xlg 1004d W /Towel Ster1004D","1","1","0","EA","","HBROR - A4C1-2004682","Required"
"M-68103","ARTIFICIAL URINARY SPHINCTER  - FIGLER, B","Supply / Disposable",", 10705031039643Sut Vicryl 4-0 Sh Ndl 27in Undyed J415hJ415H","6","2","4","EA","","HBROR - A4C6-10004653","Required"
"M-68103","ARTIFICIAL URINARY SPHINCTER  - FIGLER, B","Supply / Disposable",", 10705031059375SUT MONOCRYL 4-0 PS2 18IN SUT UNDYED MONOFIL ABSORB 1Y496G","2","2","0","EA","","HBROR - A4C6-34000810","Required"
"M-68103","ARTIFICIAL URINARY SPHINCTER  - FIGLER, B","Supply / Disposable",", 10884521104372Stapler Skin Appose 35 Wide 12/Bx 48/Ca D-027582-10108886803712","1","1","0","EA","","HBROR - A5C2-22051924","Required"
"M-68103","ARTIFICIAL URINARY SPHINCTER  - FIGLER, B","Supply / Disposable",", 00382904051822NDL SPINAL QUINCKE POINT 20GA 25/","1","1","0","BX","","HBROR - A5C3-18000527","Required"
"M-68103","ARTIFICIAL URINARY SPHINCTER  - FIGLER, B","Supply / Disposable","182","4","0","5","EA","","","Required"
"M-68103","ARTIFICIAL URINARY SPHINCTER  - FIGLER, B","Supply / Disposable",", 00382903096534SYRINGE 50ML LL 40/BX 4BX/","1","1","0","CA","","HBROR - A5C3-3000610","Required"
"M-68103","ARTIFICIAL URINARY SPHINCTER  - FIGLER, B","Supply / Disposable","653","3","0","9","EA","","","Required"
