"Card_Number","Card_Name","Location","Service","Last_Reviewed"
"M-67314","BLANK CARD - FIGLER, B","HBR Hospital OR UNCH","Surgeon: FIGLER, BRADLEY DAVIDPref Card Name: BLANK CARD - FIGLER, BLast Reviewed: 02/16/2026","02/16/2026"
"M-67342","SLING MALE - FIGLER, B","HBR Hospital OR UNCH","Surgeon: FIGLER, BRADLEY DAVIDPref Card Name: SLING MALE - FIGLER, BLast Reviewed: 02/16/2026","02/16/2026"
"M-67389","PENILE PROSTHESIS IMPLANT - FIGLER, B","HBR Hospital OR UNCH","Surgeon: FIGLER, BRADLEY DAVIDPref Card Name: PENILE PROSTHESIS IMPLANT - FIGLER, BLast Reviewed: 02/16/2026","02/16/2026"
"M-67813","CYSTO DILATION - FIGLER, B","HBR Hospital OR UNCH","Surgeon: FIGLER, BRADLEY DAVIDPref Card Name: CYSTO DILATION - FIGLER, BLast Reviewed: 02/16/2026","02/16/2026"
"M-67904","RIGID CYSTO  - FIGLER, B","HBR Hospital OR UNCH","Surgeon: FIGLER, BRADLEY DAVIDPref Card Name: RIGID CYSTO  - FIGLER, BLast Reviewed: 02/16/2026","02/16/2026"
"M-68103","ARTIFICIAL URINARY SPHINCTER  - FIGLER, B","HBR Hospital OR UNCH","Surgeon: FIGLER, BRADLEY DAVIDPref Card Name: ARTIFICIAL URINARY SPHINCTER  - FIGLER, BLast Reviewed: 02/16/2026","02/16/2026"
"M-68108","EXCISION PENIS/PENILE PLAQUE  - FIGLER, B","HBR Hospital OR UNCH","Surgeon: FIGLER, BRADLEY DAVIDPref Card Name: EXCISION PENIS/PENILE PLAQUE  - FIGLER, BLast Reviewed: 02/16/2026","02/16/2026"
"M-68200","TRANSURETHRAL RESECTION - FIGLER, B","HBR Hospital OR UNCH","Surgeon: FIGLER, BRADLEY DAVIDPref Card Name: TRANSURETHRAL RESECTION - FIGLER, BLast Reviewed: 02/16/2026","02/16/2026"
"M-68363","CIRCUMCISION/ MEATOTOMY - FIGLER, B","HBR Hospital OR UNCH","Surgeon: FIGLER, BRADLEY DAVIDPref Card Name: CIRCUMCISION/ MEATOTOMY - FIGLER, BLast Reviewed: 02/16/2026","02/16/2026"
"M-68613","STSG  - FIGLER, B","HBR Hospital OR UNCH","Surgeon: FIGLER, BRADLEY DAVIDPref Card Name: STSG  - FIGLER, BLast Reviewed: 02/16/2026","02/16/2026"
"M-69077","VASECTOMY  - FIGLER, B","HBR Hospital OR UNCH","Surgeon: FIGLER, BRADLEY DAVIDPref Card Name: VASECTOMY  - FIGLER, BLast Reviewed: 02/16/2026","02/16/2026"
"M-69447","ORCHIOPEXY/ORCHECTOMY - FIGLER, B","HBR Hospital OR UNCH","Surgeon: FIGLER, BRADLEY DAVIDPref Card Name: ORCHIOPEXY/ORCHECTOMY - FIGLER, BLast Reviewed: 02/16/2026","02/16/2026"
"M-69622","PENECTOMY  - FIGLER, B","HBR Hospital OR UNCH","Surgeon: FIGLER, BRADLEY DAVIDPref Card Name: PENECTOMY  - FIGLER, BLast Reviewed: 02/16/2026","02/16/2026"
"M-70802","VULVA, PERINEUM, AND INTROITUS  - FIGLER, B","HBR Hospital OR UNCH","Surgeon: FIGLER, BRADLEY DAVIDPref Card Name: VULVA, PERINEUM, AND INTROITUS  - FIGLER, BLast Reviewed: 02/16/2026","02/16/2026"
"M-70803","EXCISION/REPAIR: SOFT TISSUE GENITALIA  - FIGLER, B","HBR Hospital OR UNCH","Surgeon: FIGLER, BRADLEY DAVIDPref Card Name: EXCISION/REPAIR: SOFT TISSUE GENITALIA  - FIGLER, BLast Reviewed: 02/16/2026","02/16/2026"
"M-74204","RECTAL PROCEDURES MINOR - FIGLER, B","HBR Hospital OR UNCH","Surgeon: FIGLER, BRADLEY DAVIDPref Card Name: RECTAL PROCEDURES MINOR - FIGLER, BLast Reviewed: 02/16/2026","02/16/2026"
"M-74397","METOIDIOPLASTY - FIGLER, B","HBR Hospital OR UNCH","Surgeon: FIGLER, BRADLEY DAVIDPref Card Name: METOIDIOPLASTY - FIGLER, BLast Reviewed: 02/16/2026","02/16/2026"
"M-75053","UNLISTED UROLOGY PROCEDURE - FIGLER, B","HBR Hospital OR UNCH","Surgeon: FIGLER, BRADLEY DAVIDPref Card Name: UNLISTED UROLOGY PROCEDURE - FIGLER, BLast Reviewed: 02/16/2026","02/16/2026"
"M-75975","VESICOSTOMY (CYSTOSTOMY) CLOSURE/CREATION - FIGLER, B","HBR Hospital OR UNCH","Surgeon: FIGLER, BRADLEY DAVIDPref Card Name: VESICOSTOMY (CYSTOSTOMY) CLOSURE/CREATION - FIGLER, BLast Reviewed: 02/16/2026","02/16/2026"
"M-75976","BUCCAL GRAFT - FIGLER, B","HBR Hospital OR UNCH","Surgeon: FIGLER, BRADLEY DAVIDPref Card Name: BUCCAL GRAFT - FIGLER, BLast Reviewed: 02/16/2026","02/16/2026"
"M-75977","MINOR GENITAL - FIGLER, B","HBR Hospital OR UNCH","Surgeon: FIGLER, BRADLEY DAVIDPref Card Name: MINOR GENITAL - FIGLER, BLast Reviewed: 02/16/2026","02/16/2026"
"M-75978","RECON URETHRA - FIGLER, B","HBR Hospital OR UNCH","Surgeon: FIGLER, BRADLEY DAVIDPref Card Name: RECON URETHRA - FIGLER, BLast Reviewed: 02/16/2026","02/16/2026"
"M-77027","DESTRUCTION OF LESION PENIS - FIGLER, B","HBR Hospital OR UNCH","Surgeon: FIGLER, BRADLEY DAVIDPref Card Name: DESTRUCTION OF LESION PENIS - FIGLER, BLast Reviewed: 02/16/2026","02/16/2026"
"M-77941","RECON NON-URETHRA - FIGLER, B","HBR Hospital OR UNCH","Surgeon: FIGLER, BRADLEY DAVIDPref Card Name: RECON NON-URETHRA - FIGLER, BLast Reviewed: 02/16/2026","02/16/2026"
"M-78820","CYSTOLITHOTOMY/CYSTORRHAPHY - FIGLER, B","HBR Hospital OR UNCH","Surgeon: FIGLER, BRADLEY DAVIDPref Card Name: CYSTOLITHOTOMY/CYSTORRHAPHY - FIGLER, BLast Reviewed: 02/16/2026","02/16/2026"
"M-78821","EXPLORATORY LAPAROTOMY - FIGLER, B","HBR Hospital OR UNCH","Surgeon: FIGLER, BRADLEY DAVIDPref Card Name: EXPLORATORY LAPAROTOMY - FIGLER, BLast Reviewed: 02/16/2026","02/16/2026"
"M-81955","CYSTECTOMY W/WO ILEO-CONDUIT - FIGLER, B","HBR Hospital OR UNCH","Surgeon: FIGLER, BRADLEY DAVIDPref Card Name: CYSTECTOMY W/WO ILEO-CONDUIT - FIGLER, BLast Reviewed: 02/16/2026","02/16/2026"
