"Item_Name","Category","Item_Number","Lawson_Number","Unit","Associated_Preference_Cards","Bin_Locations"
"2 needed for vaginoplasty casesGenerator Ligasure","Capital Equipment","","","EA","M-74397, M-75977, M-83968, M-91325, M-107797","OR Core / Equipment Room"
"C Arm","Capital Equipment","","","EA","M-67813, M-67904, M-78820, M-110989","OR Core / Equipment Room"
"Console RFID","Capital Equipment","","","EA","M-67342, M-67389, M-67813, M-67904, M-68103, M-68108, M-68200, M-68363, M-68613, M-69077, M-69622, M-70802, M-70803, M-74204, M-74397, M-75053, M-75975, M-75977, M-75978, M-77027, M-77941, M-78820, M-78821, M-81955, M-83509, M-83968, M-84075, M-84076, M-84077, M-84079, M-90614, M-90889, M-91325, M-107797, M-110989","OR Core / Equipment Room"
"Device Spy Phi","Capital Equipment","","","EA","M-74397","OR Core / Equipment Room"
"ESU","Capital Equipment","","","EA","M-67342, M-67389, M-67813, M-68103, M-68108, M-68200, M-68363, M-68613, M-69077, M-69622, M-70802, M-70803, M-74204, M-74397, M-75053, M-75977, M-75978, M-77027, M-77941, M-78820, M-78821, M-81955, M-83509, M-83968, M-84075, M-84076, M-84077, M-84079, M-90614, M-90889, M-91325, M-107797, M-110989","OR Core / Equipment Room"
"Generator Bipolar","Capital Equipment","","","EA","M-68200","OR Core / Equipment Room"
"Generator Ligasure","Capital Equipment","","","EA","M-77941, M-81955","OR Core / Equipment Room"
"Headlight","Capital Equipment","","","EA","M-68103, M-74397","OR Core / Equipment Room"
"Laser CO2 SSI","Capital Equipment","","","EA","M-69077, M-70802, M-77027","OR Core / Equipment Room"
"Laser Holmium","Capital Equipment","","","EA","M-67904","OR Core / Equipment Room"
"OLYMPUS HDWarmer Forced Air","Capital Equipment","","","EA","M-67813, M-110989","OR Core / Equipment Room"
"OLYMPUSWarmer Forced Air","Capital Equipment","","","EA","M-67904","OR Core / Equipment Room"
"Saline Resector EquipmentSequential Compression Device","Capital Equipment","","","EA","M-68200","OR Core / Equipment Room"
"Scale Small Plastics","Capital Equipment","","","EA","M-78820","OR Core / Equipment Room"
"Sequential Compression Device","Capital Equipment","","","EA","M-67342, M-67389, M-67813, M-67904, M-68103, M-68108, M-68363, M-68613, M-69077, M-69622, M-70802, M-70803, M-74204, M-74397, M-75053, M-75975, M-75978, M-77027, M-77941, M-78820, M-78821, M-81955, M-83509, M-83968, M-84075, M-84076, M-84077, M-84079, M-90889, M-107797, M-110989","OR Core / Equipment Room"
"Stand Mayo","Capital Equipment","","","EA","M-67342, M-74397, M-75977, M-75978, M-83968, M-91325, M-107797","OR Core / Equipment Room"
"Suction Neptune","Capital Equipment","","","EA","M-67342, M-67389, M-67813, M-67904, M-68103, M-68108, M-68200, M-68363, M-68613, M-69077, M-69622, M-70802, M-70803, M-74204, M-74397, M-75053, M-75975, M-75977, M-75978, M-77027, M-77941, M-78820, M-78821, M-83509, M-83968, M-84075, M-84076, M-84077, M-84079, M-90614, M-90889, M-91325, M-107797, M-110989","OR Core / Equipment Room"
"Table Back Large","Capital Equipment","","","EA","M-67342, M-74397, M-75977, M-75978, M-83968, M-91325, M-107797","OR Core / Equipment Room"
"Table Maquet AlphaMaxx","Capital Equipment","","","EA","M-67813, M-67904, M-68200, M-84079, M-110989","OR Core / Equipment Room"
"Table OR Skytron","Capital Equipment","","","EA","M-67342, M-75978, M-90614, M-91325","OR Core / Equipment Room"
"Table OR Trumpf 7000","Capital Equipment","","","EA","M-74397, M-75977, M-83968, M-94335, M-107797","OR Core / Equipment Room"
"Video Tower","Capital Equipment","","","EA","M-67342, M-67813, M-67904, M-68103, M-74397, M-75975, M-75978, M-77027, M-84079, M-91325, M-110989","OR Core / Equipment Room"
"Warmer Fluid","Capital Equipment","","","EA","M-68200","OR Core / Equipment Room"
"Warmer Forced Air","Capital Equipment","","","EA","M-67342, M-67389, M-68103, M-68108, M-68200, M-68363, M-69077, M-69622, M-70802, M-70803, M-74204, M-74397, M-75053, M-75975, M-75977, M-75978, M-77027, M-77941, M-78820, M-78821, M-81955, M-83509, M-83968, M-84075, M-84076, M-84077, M-84079, M-90614, M-90889, M-91325, M-107797","OR Core / Equipment Room"
"0sodium chloride 0.9% (NS) irrigation (0 mL)","Drug / Medication","","","EA","M-68613","Pharmacy / Pyxis"
